,systematic,retro_bias_zenith_track,retro_bias_zenith_cascade,retro_bias_energy_track,retro_bias_energy_cascade,retro_bias_azimuth_track,retro_bias_azimuth_cascade,retro_width_zenith_cascade,retro_width_zenith_track,retro_width_energy_track,retro_width_energy_cascade,retro_width_angular_res_track,retro_width_angular_res_cascade,dynedge_bias_zenith_track,dynedge_bias_zenith_cascade,dynedge_bias_energy_track,dynedge_bias_energy_cascade,dynedge_bias_azimuth_track,dynedge_bias_azimuth_cascade,dynedge_width_zenith_track,dynedge_width_zenith_cascade,dynedge_width_energy_track,dynedge_width_energy_cascade,dynedge_width_angular_res_track,dynedge_width_angular_res_cascade,dynedge_signal_auc,dynedge_track_auc,retro_signal_auc,retro_track_auc,retro_bias_XYZ_track,retro_bias_XYZ_cascade,retro_width_XYZ_track,retro_width_XYZ_cascade,dynedge_bias_XYZ_track,dynedge_bias_XYZ_cascade,dynedge_width_XYZ_track,dynedge_width_XYZ_cascade
10,0002,-0.7087150606125192,0.11553752684940832,4.168991874543029,-6.166186218348397,-0.08695642693794525,-0.11469366123665736,27.49847572476158,21.310835988332514,17.698896073301064,17.579917928646665,35.0217554378616,45.1457492214112,-1.3557042303416722,-0.3041312599304433,6.713538262908929,-3.0966539910893554,-0.10343472210374216,0.18192559550143983,17.98945559478686,22.87098155488158,16.86993920296378,15.991547212768527,29.54740499006001,37.96091485298329,0.960260212595067,0.7177093592007336,0.9190782400126289,0.6744505273280047,21.63408521473605,16.140164182072937,22.451301457357733,16.560813379148048,22.348125478268013,14.736879576730423,17.31919552291319,10.25858390067119
11,0106,-0.34170310010766514,0.9973900470913009,4.74049687908702,-6.226438280838921,-0.07834136722550511,-0.1281721919915526,27.528165638580752,21.34473527658688,17.98712587668607,17.714639634498816,35.21583514714091,45.28551170602608,-0.8322974062071324,0.726045449844662,7.381253346611686,-3.1663404591206943,-0.06215250741635714,0.15367030413719363,18.05929586805962,22.93964129065734,17.230639727152333,16.167067911721425,29.72372344323159,38.05967544838575,0.9607531983706599,0.716274838886478,0.9209515442773576,0.6727647521774405,21.582322540246622,16.176032410807778,22.334593235337202,16.573089215769848,22.24280349241766,14.724430879949365,17.200131880148035,10.264717774966474
12,0105,-0.47998948322575075,0.9579076324043001,3.40177637473945,-7.688542199189524,-0.06526522464196205,-0.13686828163889686,27.627306381514693,21.401137014416243,17.339826730779002,17.027122254822313,34.67514732106116,44.799375897665655,-1.131723642360953,0.4819061299223506,5.723838967955312,-4.779517661999836,-0.06454448024456383,0.146829591074777,17.991001209806612,22.9482083206901,16.446272564915038,15.367287531789554,29.315259606333242,37.62403083450481,0.9605128867974811,0.7188803483565213,0.9172058970582111,0.6731708975472667,21.653987228537584,16.046697873843172,22.50957964652508,16.552501447192178,22.458821184927142,14.759054711298635,17.40224729298748,10.330708652919167
13,0102,-0.7377819789315083,-0.05391956982003876,5.778371205574792,-4.660050375901283,-0.05162884261275735,-0.15660415507841208,27.51502555957048,21.410495000953702,18.335315396932028,18.036868835224947,35.40188041249828,45.33187547232744,-1.3815674445943387,-0.44607844931800855,8.645980410140622,-1.5296507423865033,-0.05411394880485432,0.183731503400395,18.124583916019933,22.89876960379688,17.61081575443781,16.51436851149331,29.89060474010448,38.05419176246355,0.9610150099285383,0.7139690912463135,0.9217825657604427,0.6719588650484704,21.493095856938925,16.18831429472322,22.215906568671862,16.5577991212299,22.133172361963382,14.725823349500367,17.02442649754703,10.248795396066303
14,0501,-0.9876030279131385,-0.5720685791453235,7.126271698881256,-3.9924334051253947,-0.10179307592910902,-0.13957487636501753,28.181648700594543,22.06758653376249,18.692787016656823,18.382326921419725,36.43360311807976,46.38719825035669,-1.7247341682153063,-0.9312958450089468,10.253220202367142,-0.8377100021103634,-0.0771184876188471,0.17992895339280324,18.589091402333054,23.429170195521195,17.891157649198707,16.882037316533253,30.827880913009544,39.1322947723571,0.9616383710687632,0.7107821306111313,0.9248564821069634,0.667684701113507,21.730404312286566,16.603587879850632,22.07291858007514,16.63445356074017,22.17096180200472,14.824914221918501,16.869781909188603,10.30521972620518
15,0503,-0.48626784002196644,0.6339226212091518,6.314471045385447,-5.628318875902501,-0.10612945805831941,-0.13936809957466778,27.158415069129767,21.215770127521,18.37969287281138,17.629553517093626,34.68287667781537,44.16817549512588,-1.0859258244861252,0.27089110637589897,9.273929654630258,-2.6336958243623507,-0.06267148857222082,0.17577374923938294,17.997882586337845,22.67612701977035,17.63489216506329,16.03497656178826,29.41987258092211,37.17418349232238,0.9629792258828015,0.7112537716250383,0.9262829189162407,0.6682402755151335,21.21164597009273,15.861072836517636,22.132457602211925,16.607180007376513,22.17166779030084,14.777208909353675,17.036939129826845,10.401484478556222
16,0103,-0.15411972044103095,1.5453544995432082,5.603260597706541,-4.443828257822236,-0.05094528257495767,-0.138014997624353,27.639466403230546,21.50282071812766,18.262638493663605,18.402865281916945,35.22496948687095,45.33008473258208,-0.6067447523551976,1.2843550996495452,8.366868672353844,-1.2679043301302553,-0.07032626498551053,0.1675226577884672,18.17886276154133,23.046961457935687,17.502882518086537,16.90035895220644,29.799873646093655,38.187513843639216,0.9608486848670262,0.7147258995828765,0.9240380857559409,0.6736870671648111,21.40145657387904,16.058107405857626,22.1465555536815,16.424479184122863,22.127953640772684,14.65761770162304,17.009680118503624,10.175471769318529
17,0109,-1.5362034481430271,-1.7901135658707688,9.246811067419834,-1.382871886621873,-0.08804677148378914,-0.19331657108978106,27.71481808373892,21.855485856102877,19.46399382236177,18.99941081113021,35.71211102924509,45.268030043428354,-2.5862902619904276,-2.495314395811562,12.670384897553172,1.7944191561817961,-0.08011059123785458,0.13662276498317283,18.395314467490593,22.995982523474353,18.805706749459606,17.526554452468805,30.300554688829504,38.0292435971555,0.965280123725718,0.7074624559847096,0.9328914578429116,0.6673841966148499,21.066404337554623,16.057539888736013,21.660270204203805,16.46142006893168,21.81981872201971,14.678764548920086,16.430112470191062,10.201022871620184
18,0101,-1.1037449558298391,-0.6949270693502854,5.75376710532049,-4.674377464372868,-0.05254765574491671,-0.19002236208635281,27.705073067404527,21.583901620987035,18.060666520316662,17.955167168453265,35.04036558016239,45.02042829288589,-2.0317101710609933,-1.3533317131260105,8.529379415981994,-1.6269309073499791,-0.03884892581019983,0.17966792527673192,18.12776575244044,22.98012060728123,17.259311236159498,16.363459148084402,29.668327166233617,37.82994940282904,0.9624548214919506,0.7150509186438575,0.9244998565833166,0.6720374461709927,21.38332992859699,16.024588356446976,22.154614810493875,16.48562096683824,22.19053235400486,14.714001705002012,16.968098740572188,10.234381284620998
19,0000,-0.6869746593363857,0.14216961157146102,5.741555236717881,-6.092290075207204,-0.06843116492470358,-0.24413045346869922,27.634067920152745,21.46142320486916,18.280549940316035,18.213561722141932,35.305622632529264,45.40526257713545,-1.3470017453725518,-0.2242344030557888,8.573958666136145,-3.003221886807384,-0.03903271745281245,0.14190681916934977,18.130339223627086,22.983990925387587,17.51849053502786,16.70196634569664,29.831305999000893,38.16189152804819,0.9624378145699493,0.71343871502515,0.9227392360168081,0.6713853604508551,21.45661760296951,16.137458662542794,22.198095848508782,16.51301803607375,22.17041497177027,14.668536665372656,17.027030099764342,10.211217596795995
20,0004,-0.6268682213896284,0.15010859578633529,8.786992581874465,-2.008651992168733,-0.08136692828857406,-0.1858660451253371,27.63159848763603,21.677447492324248,19.447096431088067,18.97490910036163,35.71272877695489,45.32449750462823,-1.3096921953838176,-0.23997118815231033,12.167819991908882,1.1860778082442525,-0.05998456723879997,0.17078499232519562,18.37458372728102,23.007152066056015,18.83785744525758,17.526788477890776,30.26112226538137,38.11518119727748,0.9648554577085369,0.7080865023045182,0.9310992957583687,0.6677756677146545,21.113078068046534,16.122339954565703,21.72012760017714,16.48668102088375,21.810169635629915,14.671740464564358,16.50801846518341,10.201499758889799
